crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.03486529318542 0.0095087163232968 0.0237717908082409 0 0.0475435816164818 0 0.120443740095087 0.0443740095087163 0.153724247226624 0.282091917591125 0.0158478605388273 0.267828843106181
fb 0.0163812360387193 0.0253164556962025 0.0335070737155622 0 0.0238272524199553 0.0416976917349218 0.0573343261355179 0.0178704393149665 0.0588235294117647 0.0699925539836188 0.078927773641102 0.576321667907669
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0149759819157954 0.0127154563435999 0 0.520486012998022 0.0437976829612885 0.0206272958462839 0.0757276066685504 0.0211924272393334 0.0579259677875106 0.0471884713195819 0.0471884713195819 0.138174625600452
ma 0.0391849529780564 0.0211598746081505 0.155956112852665 0 0.189655172413793 0.000783699059561128 0.132445141065831 0.030564263322884 0.0634796238244507 0.0736677115987461 0.0376175548589342 0.255485893416928
or 0.00200286123032904 0.000286123032904149 0.0105865522174535 0 0.00228898426323319 0.00286123032904149 0.0220314735336195 0.00457796852646638 0.0217453505007156 0.0203147353361946 0.0260371959942775 0.887267525035765
ot 0.0246297975219099 0.0199456029011786 0.268812330009066 0 0.0611967361740707 0.0630099728014506 0.144303414928982 0.028558476881233 0.0574191598670293 0.0631610758537325 0.0661831368993654 0.202780296161982
po 0.0100704934541793 0.00503524672708963 0.0241691842900302 0 0.0281973816717021 0.00100704934541793 0.05337361530715 0.0161127895266868 0.0775427995971803 0.080563947633434 0.0443101711983887 0.659617321248741
sb 0.032258064516129 0.0364656381486676 0.124357176250584 0 0.040205703599813 0.135577372604021 0.0963066853669939 0.0388031790556335 0.106591865357645 0.110799438990182 0.159420289855072 0.119214586255259
sw 0.0233406272793581 0.036834427425237 0.0707512764405543 0 0.0342815463165573 0.0831509846827133 0.0944566010211524 0.0335521517140773 0.0900802334062729 0.0948212983223924 0.210430342815463 0.228300510576222
wb 0.0289093298291721 0.0361366622864646 0.0672360928602716 0 0.0313184406482698 0.35676741130092 0.0884800700832236 0.0435830048182216 0.0558475689881735 0.0433639947437582 0.174332019272887 0.0740254051686379
ww 0.032967032967033 0.0328592975651799 0.039646627881922 0 0.0223012281835811 0.116461969403146 0.079293255763844 0.0426632191338074 0.0641025641025641 0.0563456151691446 0.239280327515622 0.274078862314156
