crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.014161220043573 0.00762527233115468 0.0119825708060993 0 0.0359477124183007 0.00435729847494553 0.110021786492375 0.0239651416122004 0.184095860566449 0.186274509803922 0.0206971677559913 0.400871459694989
fb 0.00831443688586546 0.0201562106324011 0.0234315948601663 0 0.0120937263794407 0.0239355001259763 0.0652557319223986 0.00932224741748551 0.0513983371126228 0.0561854371378179 0.0619803476946334 0.667926429831192
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00364639795013305 0.00916527052330739 0 0.635655858874544 0.0340001971025919 0.0125160145855918 0.0547945205479452 0.010544988666601 0.0441509805853948 0.0408987878190598 0.0397161722676653 0.114910811077166
ma 0.0199166280685503 0.0148216767021769 0.169059749884206 0 0.120426123205188 0.00416859657248726 0.132468735525706 0.0217693376563224 0.0893932376100046 0.0666975451597962 0.0365910143584993 0.324687355257063
or 0.00239371888165454 0.000574492531597089 0.00670241286863271 0 0.00373420145538108 0.00143623132899272 0.0212562236690919 0.00143623132899272 0.0249904251244734 0.0203944848716967 0.0328418230563003 0.884239754883187
ot 0.0117474302496329 0.024302496328928 0.223127753303965 0 0.0430249632892805 0.0675477239353891 0.151027900146843 0.0161527165932452 0.0651982378854622 0.0673274596182085 0.0659324522760646 0.264610866372981
po 0.00844277673545966 0.00234521575984991 0.0131332082551595 0 0.0140712945590994 0.00281425891181989 0.0398686679174484 0.00328330206378987 0.0722326454033771 0.0534709193245779 0.0342401500938084 0.75609756097561
sb 0.0166355140186916 0.0469158878504673 0.154392523364486 0 0.028785046728972 0.152897196261682 0.104485981308411 0.0319626168224299 0.108971962616822 0.102056074766355 0.127289719626168 0.125607476635515
sw 0.0109643658111139 0.0427361076501371 0.0642910540742587 0 0.0255419885372539 0.0868427610266633 0.10690256665836 0.0388736606030407 0.120732618988288 0.0991776725641665 0.181659606279591 0.222277597807127
wb 0.0161335447169635 0.0357176163387114 0.0647206938356803 0 0.0221020236874009 0.430849575678448 0.0855171127482981 0.0328266343374056 0.0533432807982841 0.0485871491187168 0.136622213932668 0.0735801548074233
ww 0.0215269703695874 0.0455906704717611 0.0302293626466547 0 0.0174400169115316 0.114751788042138 0.0815981397315294 0.0429482436669838 0.0801536130782511 0.065285558256703 0.194764471690801 0.305711165134059
