crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0360288230584468 0.00880704563650988 0.00880704563650921 0 0.0456365092073659 0 0.166533226581265 0.0312249799839872 0.164931945556445 0.161729383506805 0.066453162530024 0.309847878302642
fb 0.00284697508896797 0.0163701067615658 0.0199288256227758 0 0.00854092526690392 0.0403321470937129 0.0524317912218268 0.00450771055753306 0.0275207591933571 0.0578884934756821 0.0730723606168446 0.69655990510083
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00846389339095984 0.0259319286871961 0 0.483522420313344 0.0470016207455429 0.0437601296596434 0.0777957860615883 0.00360165676211056 0.0342157392400505 0.0439402124977489 0.0592472537367188 0.172519358905096
ma 0.0199115044247788 0.0146017699115044 0.102212389380531 0 0.23141592920354 0.00221238938053097 0.111946902654867 0.0172566371681416 0.0469026548672567 0.0451327433628319 0.0765486725663717 0.331858407079646
or 0.00268856270890859 0.00283389042290365 0.00828367969771836 0 0.00363319284987647 0.000508646998982706 0.0244150559511699 0.00130794942595553 0.0175846533934017 0.0364045923557623 0.0625635808748728 0.839776195320448
ot 0.0205636647388231 0.0378224547874782 0.190672909207748 0 0.0418617460754613 0.11860828054714 0.165335536583127 0.0172587900486551 0.0471862664096209 0.0729826494078766 0.0605893693197466 0.227118332874323
po 0.0540806293018684 0.000983284169124877 0.0147492625368732 0 0.0294985250737463 0.000983284169124877 0.109144542772861 0.023598820058997 0.0294985250737463 0.0344149459193707 0.0619469026548673 0.64110127826942
sb 0.0339549123295296 0.0542721959365433 0.0667965488449761 0 0.0364597829112163 0.311995546896744 0.101864736988589 0.0130809908154745 0.0893403840801559 0.0918452546618425 0.0862788755914278 0.114110770943501
sw 0.0170454545454545 0.0777972027972032 0.052229020979021 0 0.0268793706293706 0.233391608391608 0.0968094405594406 0.00852272727272727 0.105332167832168 0.120847902097902 0.0815122377622378 0.179632867132867
wb 0.0227863587704542 0.0451139317938523 0.107814650558189 0 0.0305857164704083 0.417800886985778 0.0758525768466127 0.00978742927053066 0.0420553601468114 0.0602538614467044 0.092521792322985 0.095427435387674
ww 0.0307961845435079 0.0796573875802998 0.0355071053143858 0 0.0330932450846798 0.290286159236909 0.0824995133346311 0.0174810200506132 0.0708974109402375 0.0867432353513724 0.114969826747129 0.158068911816235
