crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0684273709483793 0.017406962785114 0.0186074429771909 0 0.0702280912364946 0.00120048019207683 0.232292917166867 0.0774309723889556 0.108643457382953 0.111644657863145 0.0474189675870348 0.246698679471789
fb 0.0260586319218241 0.0211726384364821 0.0521172638436482 0 0.0293159609120521 0.0260586319218241 0.0952768729641694 0.0260586319218241 0.0561889250814332 0.0537459283387622 0.0789902280130295 0.535016286644951
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.040720102871839 0.030432918988427 0 0.328761251607372 0.108444063437634 0.040720102871839 0.0951564509215604 0.0231461637376765 0.0797256750964424 0.0565795113587656 0.0655807972567511 0.130732961851693
ma 0.0531125071387778 0.0165619645916619 0.113649343232439 0 0.189034837235865 0.00171330668189606 0.146773272415762 0.0479725870930904 0.0593946316390634 0.0548258138206739 0.0536836093660765 0.263278126784694
or 0.0136014192785334 0.00413956238911887 0.0165582495564755 0 0.00709639266706091 0.00177409816676523 0.0443524541691307 0.010053222945003 0.0215848610289769 0.0354819633353046 0.0715552927261975 0.773802483737433
ot 0.0735294117647059 0.0199240986717268 0.136622390891841 0 0.066729917773561 0.045224541429475 0.234187223276407 0.0768500948766603 0.0599304237824162 0.049652118912081 0.0501265022137887 0.187223276407337
po 0.0785307156428119 0.0113996200126662 0.0164661177960735 0 0.0278657378087401 0.000633312222925902 0.161494616846105 0.0569981000633312 0.0297656744775174 0.0291323622545915 0.0506649778340722 0.537048765041165
sb 0.0681098204857445 0.0300950369588173 0.103484688489968 0 0.0543822597676874 0.209081309398099 0.123548046462513 0.0475184794086589 0.0997888067581837 0.0802534318901803 0.08870116156283 0.0950369588173178
sw 0.0591672753834916 0.043827611395179 0.10445580715851 0 0.0525931336742148 0.155588020452885 0.135135135135135 0.0460189919649379 0.111760409057706 0.0861943024105197 0.08327246165084 0.121986851716581
wb 0.0747356908494349 0.037550127597521 0.0864017499088589 0 0.049945315348159 0.328472475391907 0.0900473933649289 0.041560335399198 0.0725483047757929 0.049216186656945 0.100255195041925 0.0692672256653299
ww 0.102877697841727 0.0619904076738609 0.0422062350119904 0 0.0468824940047962 0.176258992805755 0.128297362110312 0.0636690647482018 0.0729016786570743 0.0559952038369305 0.11378896882494 0.135131894484412
