crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0439786272092076 0.0180846691327579 0.00698725852856556 0 0.0304151253596383 0.00041101520756268 0.158651870119194 0.0382244143033292 0.169338265515824 0.155363748458693 0.0489108096999589 0.329634196465269
fb 0.00842249032551787 0.0157068062827225 0.03528340541771 0 0.0104712041884817 0.0432506259959026 0.0648759389938537 0.00842249032551787 0.0339175961757341 0.0452993398588664 0.0812656498975643 0.653084452538129
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00908663637787873 0.0325865580448064 0 0.406078646404513 0.0861663794454017 0.052483158389472 0.0938430205232648 0.00720664264452451 0.0515431615227949 0.043709854300485 0.0595331348895502 0.157762807457308
ma 0.0195906432748538 0.0187134502923977 0.122514619883041 0 0.209941520467836 0.00146198830409357 0.106432748538012 0.0181286549707602 0.0391812865497076 0.0461988304093567 0.0730994152046784 0.344736842105263
or 0.00406840955322836 0.00421909138853311 0.00783545543584721 0 0.00760943268289008 0.000904091011828524 0.0254652301665034 0.00308897762374746 0.0238077299781511 0.0323212536728697 0.0552248926391923 0.835455435847209
ot 0.0338952654232425 0.0379304160688662 0.143561692969871 0 0.0503048780487805 0.112446197991392 0.194494261119082 0.0326398852223816 0.0602582496413199 0.0591822094691535 0.0610652797704448 0.214221664275466
po 0.0468110005851375 0.00760678759508484 0.0093622001170275 0 0.0251609128145114 0.00643651258045641 0.122878876535986 0.0333528379169101 0.0456407255705091 0.0409596255119953 0.0608543007606788 0.600936220011703
sb 0.0379696243005593 0.0489608313349319 0.0695443645083933 0 0.0349720223820944 0.282174260591527 0.100519584332534 0.017585931254996 0.108713029576339 0.0875299760191847 0.0983213429256595 0.113709032773781
sw 0.0303471716436028 0.0730759893177956 0.0543821315853362 0 0.0293760621510071 0.203932993445011 0.126487011410537 0.0194221898519058 0.109735372663268 0.100267055110464 0.0949259529011896 0.158048069919883
wb 0.0344056638926841 0.0431002359955285 0.089554092659297 0 0.0418581542665507 0.399205067693454 0.0793690224816794 0.0129176499813688 0.0512979754067818 0.0391255744627996 0.121351384921128 0.0878151782387281
ww 0.0538400058126862 0.0781079706459347 0.032696359805275 0 0.037855118796774 0.232216813194798 0.0879895371648623 0.0264477221536002 0.0794158250381458 0.0709511007774468 0.13136670783986 0.169112838770617
