crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00770925110132159 0.0198237885462553 0 0.0176211453744493 0.0242290748898678 0.0352422907488987 0 0.00770925110132159 0.0495594713656388 0.153083700440529 0.685022026431718
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0345036319612592 0 0.155569007263922 0.078087167070218 0.0677966101694916 0.157384987893462 0.0102905569007264 0.0363196125907991 0.0659806295399515 0.096246973365618 0.297820823244552
ma 0.00444444444444444 0.0977777777777778 0 0.24 0 0.106666666666667 0.0177777777777778 0.0266666666666665 0.0355555555555556 0.128888888888889 0.342222222222222
or 0.00199900049975012 0.015992003998001 0 0.000999500249875062 0.00149925037481215 0.0239880059970015 0.00149925037481259 0.0134932533733133 0.0369815092453773 0.104947526236882 0.798600699650175
ot 0.0413223140495868 0.12396694214876 0 0.073744437380801 0.0680228862047044 0.232040686586141 0.00762873490146295 0.0362364907819453 0.066751430387794 0.0966306420851875 0.253655435473617
po 0.00813008130081301 0.0650406504065041 0 0.0731707317073171 0.024390243902439 0.113821138211383 0.016260162601626 0.0487804878048781 0.016260162601626 0.178861788617886 0.455284552845528
sb 0.0844827586206897 0.148275862068966 0 0.0431034482758621 0.246551724137931 0.0810344827586207 0.00344827586206897 0.0379310344827586 0.101724137931034 0.106896551724138 0.146551724137931
sw 0.0593824228028493 0.128266033254157 0 0.0427553444180523 0.117577197149644 0.0902612826603325 0.00237529691211401 0.0522565320665083 0.13895486935867 0.0902612826603325 0.27790973871734
wb 0.0687455705173636 0.129695251594614 0 0.0354358610914243 0.362863217576187 0.0985116938341602 0.00850460666194188 0.0290574060949681 0.0411055988660524 0.0864635010630758 0.139617292700213
ww 0.100857959961868 0.0693994280266921 0 0.0469018112488084 0.208770257387989 0.0785510009532888 0.00838894184938036 0.0545281220209724 0.101048617731173 0.146234509056244 0.185319351763584
