crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00971731448763318 0.0547703180212014 0 0.0282685512367491 0.0220848056537102 0.0627208480565371 0.0123674911660777 0.0291519434628975 0.0362190812720848 0.108657243816254 0.636042402826855
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0347472924187726 0 0.173059566787002 0.182536101083033 0.0333935018050542 0.126353790613719 0.0455776173285199 0.0728790613718412 0.0503158844765343 0.0760379061371843 0.20509927797834
ma 0.00459136822773186 0.104071013161922 0 0.317722681359045 0.000918273645546373 0.107744107744108 0.0226507499234772 0.0324456688093052 0.0376492194674013 0.0902969084787267 0.281910009182736
or 0.00234535326883612 0.0246262093227792 0 0.0134857812958077 0.0152447962474348 0.0225740252125476 0.0134857812958077 0.0158311345646438 0.0099677513925535 0.0976253298153034 0.784813837584286
ot 0.0169799878714372 0.12310491206792 0 0.114918132201334 0.0794420861127956 0.219830200121286 0.0351728320194057 0.0624620982413584 0.0621588841722256 0.0827774408732565 0.203153426318981
po 0.00377928949357532 0.036281179138322 0 0.055177626606198 0.00377928949357521 0.0718065003779289 0.0143613000755858 0.0325018896447468 0.037037037037037 0.111866969009826 0.633408919123205
sb 0.0310410697230181 0.145654250238777 0 0.0778414517669532 0.126074498567335 0.127029608404967 0.05396370582617 0.0907354345749761 0.0926456542502384 0.129417382999045 0.12559694364852
sw 0.0374848851269649 0.102781136638452 0 0.0737605804111245 0.108827085852479 0.125755743651753 0.0435308343409915 0.0652962515114873 0.103990326481258 0.134220072551391 0.204353083434099
wb 0.0336889387984282 0.115103874227962 0 0.0920830993823695 0.287198203256597 0.0898371701291409 0.0499719258843346 0.051656372824256 0.0466030320044919 0.147108366086468 0.0867490174059517
ww 0.0449834384015386 0.0588738113046266 0 0.0850518217758307 0.178010471204189 0.074794315632012 0.0587669622822951 0.0458382305801902 0.040282081418955 0.178331018271183 0.23506784912918
