crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00996677740863787 0.0556478405315615 0 0.0220099667774079 0.0253322259136213 0.0622923588039867 0.00415282392026578 0.0203488372093023 0.0299003322259136 0.149086378737542 0.621262458471761
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0171356572868542 0 0.424275514489709 0.106929861402772 0.0267954640907182 0.0887862242755146 0.0246115077698444 0.0387232255354893 0.0388072238555229 0.0595548089038229 0.174380512389752
ma 0.00502293077091068 0.107447040838611 0 0.266652107447041 0.000873553177549683 0.0967460144136267 0.019218169906093 0.0262065953264905 0.0329766324525005 0.101987333478926 0.342869622188251
or 0.00200874394422782 0.0152428216944346 0 0.00626255464965142 0.00531726338177951 0.0336760014179369 0.00768049155145929 0.00803497577691126 0.011107172397495 0.12560557721848 0.785064397967624
ot 0.0198459328894111 0.137354746050399 0 0.09087348217783 0.0979240109674892 0.225878051965008 0.0343386865125996 0.0357749053401227 0.0535317926622274 0.104321713017365 0.200156678417548
po 0.00306345733041575 0.0315098468271336 0 0.0284463894967168 0.00350109409190372 0.0656455142231947 0.00656455142231947 0.0188183807439825 0.0306345733041575 0.192997811816193 0.618818380743983
sb 0.0227008149010477 0.189173457508731 0 0.0660651920838184 0.144644935972061 0.126600698486612 0.0264842840512224 0.059662398137369 0.0739231664726426 0.143189755529686 0.14755529685681
sw 0.0297508367422834 0.111565637783563 0 0.0572703607288955 0.111193752324284 0.102268501301599 0.0200818148010413 0.0490888806247676 0.0870211974711789 0.147638527333581 0.284120490888806
wb 0.030628694250403 0.122783449758195 0 0.0686458893068243 0.319586243954863 0.0968565287479849 0.0364051585169264 0.0376141859215476 0.0459430413756045 0.136620096722192 0.104916711445459
ww 0.0451861468235688 0.0571631977888521 0 0.0643243016876754 0.198961430545668 0.0861845135893463 0.0466099920432181 0.0341722852715775 0.0510909167050547 0.173499727794296 0.242807487750743
