crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00978372811534589 0.009783728115345 0.00875386199794027 0 0.0468589083419155 0.00257466529351184 0.0901132852729145 0.0216271884654995 0.114830072090628 0.152420185375901 0.0329557157569516 0.510298661174047
fb 0.00260213374967473 0.0092375748113453 0.0179547228727557 0 0.00494405412438199 0.00481394743689826 0.0308352849336456 0.00195160031225605 0.0245901639344262 0.0334374186833203 0.066224303929222 0.803408795212074
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0147713950762016 0.0440797186400938 0 0.400703399765534 0.027432590855803 0.0196951934349356 0.124032825322391 0.00984759671746775 0.0443141852286046 0.0630715123094958 0.0565064478311839 0.195545134818288
ma 0.0788216560509554 0.0199044585987261 0.172770700636942 0 0.136146496815287 0 0.137738853503185 0.0167197452229299 0.0453821656050955 0.0469745222929936 0.0406050955414014 0.304936305732484
or 0.000714183688044565 0.00128553063848022 0.00914155120697043 0 0.000428510212826739 0.000714183688044565 0.017997428938723 0.00142836737608913 0.00957006141979717 0.0255677760319954 0.0462791029852878 0.886873303813741
ot 0.0233750745378645 0.0499701848539058 0.180083482409064 0 0.0239713774597496 0.0385211687537269 0.166845557543232 0.013118664281455 0.0530709600477042 0.0793082886106142 0.0639236732259988 0.307811568276685
po 0.0356188780053426 0.00712377560106857 0.0231522707034728 0 0.0142475512021371 0.00445235975066785 0.0534283170080142 0.00801424755120214 0.0204808548530721 0.0418521816562778 0.0605520926090828 0.731077471059662
sb 0.0284442724458204 0.144930340557277 0.0450851393188854 0 0.0110294117647059 0.139705882352941 0.0661764705882353 0.0143188854489164 0.134287925696594 0.105456656346749 0.0936532507739938 0.216911764705882
sw 0.0275543041029767 0.116049879324216 0.0510860820595334 0 0.0110619469026549 0.0872888173773129 0.08266291230893 0.0189058728881738 0.0931214802896226 0.126709573612228 0.0876910699919549 0.297868061142397
wb 0.0421122994652406 0.132687165775401 0.058322192513369 0 0.0133689839572193 0.26403743315508 0.071524064171123 0.0188836898395722 0.0581550802139037 0.0686831550802141 0.133355614973262 0.138870320855615
ww 0.0432228651586884 0.115056403062716 0.0270033315798702 0 0.0108130223858788 0.103892688058916 0.0613127593664153 0.0212461277690105 0.0837278625284938 0.0810684435092641 0.114267344672395 0.338389151908352
