crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00796898556967478 0.00926125349989231 0.0167994830928281 0 0.0327374542321775 0.00172302390695671 0.123411587335774 0.0344604781391342 0.17251776868404 0.205470600904588 0.0678440663364204 0.327805298298514
fb 0.0209375 0.0103125 0.043125 0 0.01 0.008125 0.0853125 0.0125 0.0296875 0.0221875 0.0840625 0.67375
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.153792864565293 0.0474541046068584 0 -0.0512642881884313 0.0938690682369243 0.0270176653966053 0.231382057499133 0.0633875995843437 0.0893661240041567 0.0800138552130241 0.11257360581919 0.152407343262903
ma 0.0613086038124678 0.00927357032457496 0.119010819165379 0 0.129829984544049 0.000515198351365276 0.164348274085523 0.0525502318392581 0.0685213807315817 0.0587326120556414 0.071097372488408 0.264811952601752
or 0.0139216106232598 0.00406939387449133 0.0233454701220818 0 0.00107089312486614 0.000856714499892467 0.0346969372456629 0.00985221674876847 0.00642535874919683 0.00920968087384879 0.0983079888627115 0.79824373527522
ot 0.073015873015873 0.0236961451247166 0.122222222222222 0 0.0409297052154195 0.03718820861678 0.218140589569161 0.0421768707482993 0.0453514739229025 0.0571428571428571 0.105555555555556 0.234580498866213
po 0.0399640772339468 0.00898069151324652 0.0314324202963628 0 0.0359227660529861 0.00269420745397396 0.110911540188595 0.0184104176021554 0.0601706331387517 0.0601706331387517 0.0938482263134261 0.537494387067804
sb 0.102977667493797 0.0602977667493797 0.0741935483870968 0 0.0193548387096774 0.138213399503722 0.08287841191067 0.0511166253101737 0.0945409429280397 0.071712158808933 0.164764267990074 0.139950372208437
sw 0.0952804986642921 0.0543187889581478 0.0690115761353517 0 0.0200356188780053 0.0997328584149599 0.117542297417631 0.0516473731077471 0.056099732858415 0.0779162956366874 0.16073018699911 0.197684772929653
wb 0.162989644304367 0.0535794687077893 0.055230376707189 0 0.019810895992796 0.258742308269548 0.113462404322378 0.0567312021611887 0.0364700585321927 0.0330181599879934 0.138376106858772 0.0715893741557857
ww 0.149256449165402 0.0636115326251897 0.0342943854324734 0 0.0251896813353566 0.11453717754173 0.0918968133535662 0.0596054628224583 0.0466767830045524 0.0365402124430956 0.158300455235205 0.220091047040971
