crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00726552179656539 0.00726552179656539 0.00561426684280053 0 0.0490422721268164 0.000990752972258917 0.0701783355350066 0.0222919418758256 0.107331571994716 0.172886393659181 0.0363276089828273 0.520805812417437
fb 0.0117451982865828 0.0105015890562388 0.0259776150338538 0 0.00884344341578002 0.00870526461240846 0.0446317534890148 0.00898162221915158 0.0163050987978444 0.0283266546911704 0.068260328865552 0.767721431532403
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0591744213791457 0.0470054879503698 0 0.151753758052971 0.0818420424719636 0.0295872106895737 0.188021951801479 0.0317346695299449 0.0641851586733477 0.0703889286566451 0.0737294201861131 0.202576950608446
ma 0.0692579505300353 0.00848056537102429 0.121201413427562 0 0.17243816254417 0 0.134982332155477 0.0385159010600707 0.0360424028268551 0.0508833922261485 0.0593639575971731 0.308833922261484
or 0.00427163198247536 0.00164293537787514 0.00865279299014239 0 0.00295728368017525 0.000328587075575249 0.0232201533406353 0.00328587075575027 0.00547645125958379 0.0127053669222344 0.0554216867469879 0.882037239868565
ot 0.0516892165599935 0.035080612492911 0.133841043506441 0 0.0320829620027546 0.0431823705744146 0.189419103945556 0.033055172972535 0.0425342299278944 0.0590618164141619 0.0785060358097707 0.301547435793567
po 0.0439362022269034 0.00391212759554619 0.013241047246464 0 0.0264820944929281 0.000300932891965092 0.0692145651519711 0.0120373156786037 0.0252783629250677 0.0358110141438459 0.0553716521215769 0.714414685525128
sb 0.0680245964642583 0.0945426594926979 0.042467332820907 0 0.0180630284396618 0.149692544196772 0.0899308224442736 0.0320906994619523 0.0997309761721752 0.0766717909300538 0.130284396617986 0.198501152959262
sw 0.0705981822024942 0.0822236313675754 0.0507292327203551 0 0.0209258084971465 0.0915239906996407 0.093003593320651 0.036567321919256 0.062143310082435 0.0917353625026422 0.151130839146058 0.249418727541746
wb 0.119140843494798 0.0760711488980871 0.0449714733191632 0 0.0204720886005146 0.319386956035351 0.0908379013312451 0.0357981877167468 0.0322183689450722 0.0351269716970578 0.122496923593243 0.103479136368721
ww 0.120317698830096 0.0828324567993989 0.0236127508854782 0 0.0192926907802941 0.11385102500805 0.0789417194375872 0.0531823548352474 0.0571535902114415 0.0492111194590533 0.135826982934421 0.265777610818932
