crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.037037037037037 0.0185185185185185 0 0 0 0.0185185185185185 0 0 0.0185185185185185 0.111111111111112 0.796296296296296
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0160256410256411 0 0.727564102564102 0.00641025641025641 0 0.166666666666666 0 0.0192307692307693 0.0256410256410265 0.0160256410256411 0.0224358974358974
ma 0 0.1875 0 0.1875 0 0.4375 0 0.0625 0.0625 0 0.0625
or 0 0.178571428571429 0 0 0 0.142857142857142 0 0 0 0.0357142857142857 0.642857142857143
ot 0.0240963855421687 0.506024096385542 0 0.00602409638554217 0.00602409638554217 0.180722891566265 0.0060240963855425 0.0301204819277108 0.0240963855421687 0.036144578313253 0.180722891566265
po 0.0830989984931933 0.366768967588285 0 0.0110070636714855 0.0238224131104806 0.127534514961401 0.000410581768374458 0.0312367238628865 0.0394220227044814 0.0799879582987002 0.236710755540712
sb 0.547619047619048 0.0952380952380952 0 0 0.0238095238095238 0.0476190476190476 0 0.0238095238095238 0.0714285714285714 0.0476190476190476 0.142857142857143
sw 0 0.357142857142857 0 0 0 0.178571428571429 0 0.107142857142857 0 0.142857142857143 0.214285714285714
wb 0.142857142857143 0.311688311688312 0 0 0.168831168831169 0.051948051948052 0 0.0519480519480511 0.103896103896104 0.0779220779220779 0.0909090909090909
ww 0.14622641509434 0.10377358490566 0 0 0.0283018867924528 0.0943396226415094 0 0.0990566037735846 0.0518867924528302 0.136792452830189 0.339622641509434
