crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.0909090909090909 0 0 0 0.0909090909090909 0 0.0909090909090905 0.272727272727273 0.0909090909090909 0.363636363636364
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0204081632653062 0 0.612244897959184 0 0 0.142857142857142 0.0204081632653062 0 0.0408163265306124 0.0204081632653062 0.142857142857142
ma 0 0.5 0 0 0 0.5 0 0 0 0 0
or 0 0 0 0 0 0 0 0 0.5 0 0.5
ot 0.0144927536231884 0.231884057971014 0 0.0289855072463768 0.0144927536231884 0.27536231884058 0.0434782608695654 0.0434782608695652 0.0289855072463768 0.072463768115942 0.246376811594203
po 0 0 0 0 0 0.666666666666667 0 0 0 0 0.333333333333333
sb 0.0909090909090909 0.181818181818181 0 0 0.363636363636364 0.0909090909090909 0 0.090909090909091 0 0.181818181818182 0
sw 0.2 0.2 0 0 0.2 0.2 0 0 0 0 0.2
wb 0 0.181818181818181 0 0 0.181818181818182 0.0909090909090909 0 0 0 0.0909090909090909 0.454545454545455
ww 0.128571428571429 0.0428571428571429 0 0 0.171428571428571 0.142857142857143 0.0142857142857143 0.0714285714285714 0.0142857142857143 0.0571428571428571 0.357142857142857
