crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0 0 0 0 0 1 0 0 0 0
fb 0 0.0666666666666667 0.0888888888888891 0 0 0 0.111111111111111 0 0 0.0444444444444444 0.0666666666666667 0.622222222222222
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0344827586206896 0 0.591954022988506 0.0172413793103453 0 0.160919540229885 0 0.0172413793103449 0.028735632183908 0.057471264367816 0.0919540229885057
ma 0 0 0.266666666666667 0 0.0666666666666667 0 0.466666666666667 0 0 0.133333333333333 0 0.0666666666666667
or 0 0 0 0 0 0 0.105263157894737 0 0 0.0526315789473684 0.105263157894737 0.736842105263158
ot 0 0.0465116279069767 0.387596899224806 0 0.0155038759689922 0.0232558139534884 0.217054263565892 0.00775193798449612 0.0310077519379845 0.0155038759689922 0.0387596899224806 0.217054263565891
po 0 0.2 0 0 0 0 0 0 0.2 0 0 0.6
sb 0 0.275 0.075 0 0 0.2 0.175 0.1 0.05 0 0.075 0.05
sw 0 0.233333333333333 0.1 0 0 0.0333333333333333 0.0666666666666674 0 0.0333333333333333 0.133333333333333 0.2 0.2
wb 0 0 0.214285714285714 0 0 0.261904761904762 0.0238095238095247 0 0.238095238095238 0.0238095238095238 0.0476190476190476 0.19047619047619
ww 0.00636942675159236 0.140127388535032 0.0764331210191083 0 0.00636942675159236 0.0764331210191083 0.121019108280255 0.0382165605095541 0.0828025477707006 0.0955414012738854 0.10828025477707 0.248407643312102
