crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 3.57258595778532e-05 0.0594284411573004 0.18346487019235 0 0.0414430383672988 0.108147767215853 0.100344126025376 0.00352281011611526 0.0506976233481266 0.0561555963802619 0.0964959156471012 0.300264085690639
fb 0 0.013719512195122 0.0560975609756098 0 0.0124999999999996 0.0128048780487805 0.0454268292682927 0.000304878048780488 0.0341463414634146 0.0509146341463415 0.116768292682927 0.657317073170732
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0374652108756156 0 0.540890601584244 0.0526653821451509 0.0233354742025262 0.0823164204667094 0.00224791265253694 0.0367159066581025 0.0348961678441447 0.0502033825733248 0.139263540997645
ma 0 0.00911728139245752 0.146290924160796 0 0.288852051388313 0.00165768752590137 0.0841276419394944 0.0149191877331123 0.0294239535847493 0.0281806879403232 0.0845420638209698 0.312888520513883
or 0 0.0026984483921745 0.0184393973465257 0 0.003597931189566 0.00247357769282662 0.0188891387452215 0.00044974139869575 0.0132673712615246 0.0233865527321792 0.108837418484371 0.807960422756915
ot 0.000703531729280991 0.0446039116364148 0.310398198958773 0 0.0552975939214859 0.0502321654706627 0.143942591810891 0.00337695230054875 0.0423526101027156 0.046855213170114 0.0768256648374842 0.225411566061629
po 0 0.0189873417721519 0.113924050632911 0 0.056962025316456 0.00632911392405063 0.132911392405063 0.0189873417721519 0.0126582278481013 0.0379746835443038 0.0949367088607595 0.506329113924051
sb 0 0.0869386073341572 0.124433456942727 0 0.0482076637824477 0.215492377420684 0.0799340749896993 0.00494437577255882 0.126493613514627 0.122373300370828 0.0700453234445819 0.121137206427689
sw 0 0.108589951377634 0.11547811993517 0 0.0364667747163695 0.125607779578606 0.086709886547812 0.00526742301458671 0.0786061588330632 0.111831442463533 0.0863047001620746 0.245137763371151
wb 0.000215007525264272 0.0597720920232208 0.183186411524403 0 0.0524618361642658 0.262094173296065 0.0700924532358633 0.00451515803053107 0.0522468286390024 0.0662223177811223 0.110728875510643 0.138464846269619
ww 0 0.101917590073651 0.0802866432220821 0 0.0518213788069803 0.157056598765842 0.0782297126932519 0.00471103443699821 0.0803529958197863 0.0960122088779776 0.136885409063765 0.212726428239666
