crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 1 0 0 0 0 0 0 0 0 0 0
fb 0 0.0101010101010101 0.0692640692640693 0 0.0101010101010101 0.00577200577200577 0.0447330447330447 0 0.0101010101010101 0.0245310245310245 0.0923520923520924 0.733044733044733
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0309101316542645 0 0.418431597023468 0.0744132799084146 0.0440755580995996 0.119633657698912 0.00343445907269605 0.0704064109902691 0.0406410990269032 0.0423583285632513 0.155695477962221
ma 0 0.0118343195266272 0.14792899408284 0 0.164201183431953 0.00591715976331361 0.125739644970414 0.0192307692307692 0.0177514792899408 0.0369822485207101 0.0784023668639053 0.392011834319527
or 0 0 0.0183727034120735 0 0.00174978127734033 0.00612423447069094 0.026246719160105 0.000874890638670166 0.015748031496063 0.015748031496063 0.0796150481189851 0.835520559930009
ot 0.000657030223390276 0.0302233902759527 0.256241787122208 0 0.0611038107752957 0.0630749014454665 0.230617608409987 0.0177398160315375 0.0420499342969777 0.0440210249671485 0.054533508541392 0.199737187910644
po 0 0 0.0686274509803922 0 0.0980392156862748 0.0196078431372549 0.107843137254902 0.0490196078431373 0.00980392156862745 0.0588235294117647 0.0784313725490196 0.509803921568627
sb 0.00165837479270315 0.0464344941956882 0.13598673300166 0 0.0381426202321725 0.321724709784411 0.066334991708126 0.00995024875621891 0.135986733001658 0.111111111111111 0.0696517412935323 0.0630182421227197
sw 0 0.0573770491803279 0.188524590163934 0 0.0437158469945355 0.133879781420765 0.0655737704918033 0.00273224043715847 0.0901639344262295 0.0765027322404372 0.114754098360656 0.226775956284153
wb 0 0.0340659340659341 0.167032967032967 0 0.0879120879120879 0.296703296703297 0.0923076923076923 0.0186813186813187 0.056043956043956 0.0714285714285714 0.0802197802197802 0.0956043956043956
ww 0.000267308206361935 0.0914194065757819 0.0919540229885057 0 0.05800588078054 0.17268110130981 0.0882117080994387 0.0114942528735632 0.074311681368618 0.0553327987169206 0.111734830259289 0.244587008821171
