crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0.0588235294117647 0 0.235294117647059 0 0.176470588235294 0.0588235294117647 0.0588235294117647 0 0.0588235294117647 0.352941176470588
fb 0 0.0139564389934447 0.0556142947769084 0 0.015013744977797 0.0145908225840558 0.0456756185240008 0.00211461196870374 0.032776485514908 0.0302389511524635 0.121167265806724 0.668851765700994
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.000287163779075332 0.0397243227720877 0 0.378194697042213 0.0674834880827032 0.0404900928496224 0.10395328802527 0.00478606298458888 0.0727481573657508 0.0547525605436966 0.0604958361252034 0.177084330429788
ma 0.000523149359142035 0.00915511378498561 0.170808265759874 0 0.235155636934345 0.00340047083442323 0.08998168977243 0.0219722730839655 0.0431598221292179 0.0264190426366728 0.0813497253465865 0.318074810358357
or 0 0.00233735878457343 0.016361511492014 0 0.00571354369562395 0.000779119594857811 0.0212959355927802 0.000389559797428905 0.0118166471886768 0.0114270873912479 0.123620309050773 0.806258927412024
ot 0.000555247084952804 0.0347584675180455 0.270627429205997 0 0.0620766240977235 0.0588561910049972 0.172792892837313 0.01188228761799 0.0561910049972238 0.0444197667962243 0.0651860077734592 0.222654081066074
po 0.00155038759689922 0.00465116279069767 0.0418604651162791 0 0.0651162790697674 0.00310077519379856 0.0976744186046512 0.0232558139534884 0.0418604651162791 0.0170542635658915 0.0883720930232558 0.615503875968992
sb 0.000706813683912921 0.0592309867119027 0.090613514277637 0 0.0330788804071247 0.276505513146734 0.0698331919705966 0.00466497031382528 0.187588351710489 0.094147582697201 0.0925925925925927 0.0910376024879842
sw 0 0.0643312101910828 0.126114649681529 0 0.0289808917197452 0.122611464968153 0.0882165605095541 0.0054140127388535 0.103503184713376 0.104458598726115 0.10859872611465 0.247770700636941
wb 0.000165180046250413 0.0640898579451602 0.122728774364057 0 0.0454245127188636 0.369507763462173 0.0654112983151635 0.00792864222001982 0.0642550379914106 0.0563263957713908 0.0931615460852329 0.111000991080278
ww 0.000675590085715492 0.0849132288983663 0.077186167292995 0 0.0492336274965165 0.132837900603809 0.067896803614407 0.0153274500696702 0.151965544905628 0.0883334037073006 0.12097284972343 0.210657433602162
