crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00785854616895874 0.0677799607072692 0 0.0235756385068762 0.0108055009823183 0.0648330058939104 0 0.0235756385068762 0.031434184675835 0.147347740667976 0.62278978388998
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0205500151103052 0 0.403596252644303 0.188727712299788 0.0187367784829254 0.0862798428528257 0.00332426715019665 0.0427621637957087 0.0356603203384709 0.0643699002719856 0.135992747053491
ma 0.0037073652990608 0.13049925852694 0 0.390756302521008 0.00123578843302027 0.0931784478497281 0.00568462679189323 0.0264458724666337 0.0353435491843796 0.0689569945625309 0.244191794364805
or 0.00364298724954463 0.00947176684881603 0 0.0138433515482696 0.00437158469945355 0.0182149362477231 0.00182149362477231 0.0112932604735883 0.0200364298724954 0.133333333333333 0.783970856102004
ot 0.022609819121447 0.22093023255814 0 0.0949612403100775 0.0720284237726098 0.200258397932817 0.00549095607235142 0.0536175710594315 0.0604005167958649 0.0975452196382429 0.172157622739018
po 0 0.141414141414141 0 0.181818181818182 0 0.111111111111111 0 0.0101010101010108 0.0303030303030303 0.141414141414141 0.383838383838384
sb 0.049748743718593 0.180904522613065 0 0.0688442211055276 0.183417085427136 0.0994974874371857 0.00150753768844221 0.0944723618090452 0.0894472361809045 0.147738693467337 0.0844221105527638
sw 0.044372294372294 0.178571428571429 0 0.0638528138528139 0.115800865800866 0.0898268398268398 0.00216450216450216 0.0573593073593074 0.091991341991342 0.140692640692641 0.215367965367965
wb 0.0450791465932553 0.146937370956641 0 0.0743289745354439 0.356159669649002 0.0884377150722643 0.00584996558843771 0.0430144528561603 0.0529938059187887 0.100481761871989 0.0867171369580179
ww 0.0627910070506854 0.0960489557004124 0 0.125315950512172 0.1219901556472 0.0977783690301982 0.00452308101636291 0.0871358254622855 0.0766263136889717 0.174271650924571 0.153518690967141
