crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0130718954248366 0.0980392156862745 0 0.0261437908496732 0.00326797385620915 0.107843137254902 0.0163398692810458 0.0490196078431373 0.042483660130719 0.0980392156862745 0.545751633986928
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0112490302560126 0 0.409425911559349 0.16466252909232 0.00833979829325058 0.124903025601241 0.0312257564003104 0.0855314197051978 0.0267649340574089 0.0488750969743988 0.089022498060512
ma 0.00230061349693252 0.0866564417177914 0 0.316334355828221 0.00191717791411043 0.114647239263804 0.0276073619631898 0.044861963190184 0.026840490797546 0.0889570552147239 0.289877300613497
or 0.006265664160401 0.0701754385964912 0 0.0275689223057654 0.018796992481203 0.140350877192982 0.0200501253132832 0.0137844611528822 0.006265664160401 0.093984962406015 0.602756892230576
ot 0.00609549610565527 0.198780900778869 0 0.105316627158822 0.0172705722993566 0.314595326786319 0.0761937013206908 0.0728073145953268 0.059600406366407 0.070436843887572 0.0789028107009821
po 0 0.0885167464114833 0 0.0933014354066986 0 0.148325358851675 0.0334928229665072 0.0550239234449761 0.0741626794258373 0.12200956937799 0.385167464114833
sb 0.0300218340611356 0.2117903930131 0 0.0715065502183402 0.0496724890829697 0.184497816593886 0.0343886462882112 0.184497816593886 0.0835152838427949 0.0949781659388647 0.0551310043668119
sw 0.00802139037433155 0.240641711229947 0 0.072192513368984 0.0347593582887702 0.176470588235294 0.0267379679144385 0.10427807486631 0.0508021390374332 0.114973262032086 0.171122994652406
wb 0.0180758017492711 0.201166180758017 0 0.132944606413994 0.113119533527697 0.18134110787172 0.0472303206997085 0.0857142857142866 0.0332361516034985 0.137609329446064 0.0495626822157434
ww 0.0292267850536441 0.0862005179430264 0 0.221605623381428 0.0884202737698853 0.105438401775805 0.0421753607103219 0.0887902330743618 0.0432852386237514 0.178690344062153 0.116167221605623
