crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00523982265215639 0.108424022571544 0 0.0217654171704958 0.00644901249496171 0.0697299476017735 0.00403063280935107 0.0431277710600564 0.0411124546553802 0.115276098347441 0.58484482063684
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.012871389626971 0 0.421546637220055 0.144069843679906 0.0156320093861072 0.0810586976776286 0.0170813347596542 0.0906863590876151 0.0399944787604818 0.0595603713033577 0.117498878498223
ma 0.00279077402938521 0.109661003037019 0 0.325289337601576 0.00131330542559304 0.0989903964540752 0.0119018304194369 0.0515472379545268 0.0357875728474103 0.0829024049905606 0.279816137240417
or 0.00268691588785047 0.0309579439252336 0 0.0134345794392523 0.00852803738317757 0.0445093457943925 0.00233644859813084 0.0232476635514019 0.0161214953271028 0.113084112149533 0.745093457943925
ot 0.0124860646599777 0.220661464139725 0 0.0982534373838722 0.042512077294686 0.232998885172798 0.023039762170197 0.0882943143812709 0.071869193608324 0.0827945001858045 0.127090301003345
po 0.00310318076027929 0.106283941039566 0 0.0799069045771916 0.00232738557020946 0.0876648564778898 0.0224980605120248 0.0752521334367727 0.0636152055857254 0.169899146625291 0.38944918541505
sb 0.0237463014945755 0.182838934830438 0 0.0605416887944769 0.152795690767013 0.119566042030195 0.019270161596237 0.160306501782869 0.0913436006372809 0.108110158561566 0.0814809195053486
sw 0.0245508982035928 0.158982035928144 0 0.0736526946107784 0.0991017964071856 0.117365269461078 0.0134730538922156 0.131137724550898 0.0958083832335329 0.111377245508982 0.174550898203593
wb 0.0196476414711375 0.167898027116993 0 0.0851668425753024 0.226678574328164 0.113501664366323 0.0198912072744987 0.102460014613948 0.0426240155882114 0.132662174230738 0.0894698384346838
ww 0.0328859060402685 0.0972315436241612 0 0.107130872483221 0.0909395973154362 0.0802013422818792 0.0189177852348994 0.143791946308725 0.074244966442953 0.183053691275168 0.171602348993289
