crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.111111111111111 0 0.148148148148148 0 0.074074074074075 0 0.148148148148148 0.037037037037037 0.111111111111111 0.37037037037037
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0 0.791044776119404 0.0559701492537314 0.0111940298507463 0.0708955223880598 0.00746268656716418 0.0149253731343286 0.0111940298507463 0.0111940298507463 0.0261194029850738
ma 0 0.3 0 0.25 0 0.25 0 0 0.05 0.0500000000000001 0.0999999999999998
or 0 0.0612244897959184 0 0 0 0.0408163265306118 0.0204081632653062 0.0408163265306122 0.0612244897959184 0.102040816326531 0.673469387755102
ot 0 0.189655172413793 0 0.0517241379310345 0.120689655172414 0.46551724137931 0 0.0344827586206897 0.0344827586206897 0.0689655172413793 0.0344827586206897
po 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0.333333333333333 0.0833333333333335 0.25 0.166666666666667
sb 0 0.108108108108108 0 0.0540540540540541 0.0810810810810811 0.162162162162162 0 0.162162162162162 0.108108108108108 0.297297297297297 0.0270270270270279
sw 0 0.333333333333333 0 0 0.166666666666667 0.166666666666666 0 0.166666666666667 0 0.166666666666667 0
wb 0 0.111111111111111 0 0.0185185185185185 0.314814814814815 0.12962962962963 0.037037037037037 0.0925925925925926 0.0555555555555556 0.222222222222222 0.0185185185185183
ww 0 0.036697247706422 0 0.0825688073394495 0.247706422018349 0.073394495412844 0 0.0275229357798165 0.055045871559633 0.201834862385321 0.275229357798165
