crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0204081632653068 0.244897959183673 0 0.0612244897959184 0 0.244897959183673 0 0.0204081632653061 0.0816326530612245 0.0204081632653061 0.306122448979592
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0036607687614399 0 0.830994508846858 0.0543014032946919 0.00762660158633313 0.0311165344722389 0.00305064063453326 0.0192190359975594 0.0134228187919463 0.00854179377669323 0.0280658938377059
ma 0.00198807157057654 0.0854870775347912 0 0.530815109343936 0 0.0934393638170974 0.0198807157057654 0.025844930417495 0.0198807157057654 0.039761431411531 0.182902584493042
or 0 0.0714285714285714 0 0.0102040816326531 0.0204081632653061 0.0714285714285714 0.0102040816326531 0.0510204081632653 0.0306122448979596 0.173469387755102 0.561224489795918
ot 0.00297619047619048 0.24702380952381 0 0.139880952380952 0.0297619047619048 0.282738095238095 0.0297619047619048 0.0535714285714286 0.068452380952381 0.0654761904761905 0.0803571428571429
po 0.0285714285714286 0.214285714285713 0 0.228571428571429 0 0.128571428571429 0.0428571428571429 0.0714285714285714 0.0142857142857143 0.0857142857142857 0.185714285714286
sb 0.0411764705882353 0.347058823529412 0 0.0941176470588235 0.0470588235294118 0.105882352941176 0.0117647058823529 0.0588235294117653 0.129411764705882 0.0823529411764706 0.0823529411764706
sw 0.0131578947368421 0.236842105263158 0 0.0789473684210526 0.0394736842105263 0.0789473684210526 0.0131578947368419 0.118421052631579 0.0789473684210526 0.105263157894737 0.236842105263158
wb 0.00816326530612245 0.175510204081633 0 0.0653061224489796 0.142857142857143 0.126530612244898 0.0244897959183673 0.0408163265306123 0.036734693877551 0.240816326530612 0.138775510204081
ww 0.00466200466200466 0.132867132867133 0 0.186480186480186 0.0652680652680653 0.0372960372960373 0.0186480186480186 0.013986013986014 0.0326340326340326 0.221445221445222 0.286713286713287
