crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00233644859813084 0.275700934579439 0 0.0560747663551402 0.0210280373831776 0.123831775700935 0.014018691588785 0.0864485981308411 0.044392523364486 0.0911214953271028 0.285046728971963
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00441954068345039 0 0.804632625680688 0.0497987530581643 0.00327519532791391 0.0323968116170785 0.00891800173624813 0.0391839633809487 0.0159024544234867 0.0127061794649199 0.0287664746271013
ma 0.00197941409342835 0.140142517814727 0 0.426761678543151 0.00197941409342835 0.0831353919239905 0.0174188440221694 0.0439429928741093 0.0356294536817102 0.0633412509897068 0.185669041963579
or 0.00182149362477231 0.0591985428051002 0 0.017304189435337 0.0127504553734062 0.058287795992714 0.0136612021857923 0.040983606557377 0.01183970856102 0.152094717668488 0.632058287795993
ot 0.00295955277869177 0.390003288391976 0 0.0825386386057218 0.0217033870437356 0.165406116409076 0.0217033870437356 0.10884577441631 0.0782637290365012 0.0651101611312068 0.063465965143045
po 0.00185528756957328 0.213358070500928 0 0.0593692022263451 0.00556586270871985 0.115027829313544 0.0352504638218924 0.10760667903525 0.025974025974026 0.146567717996289 0.289424860853432
sb 0.00541679205537165 0.346975624435751 0 0.0397231417393921 0.0243755642491728 0.177851339151369 0.0300932891965092 0.185073728558531 0.0601865783930184 0.075534155883238 0.0547697863376467
sw 0.00400801603206413 0.256513026052104 0 0.064128256513026 0.0340681362725451 0.177354709418838 0.030060120240481 0.130260521042084 0.0731462925851703 0.118236472945892 0.112224448897796
wb 0.00871731008717332 0.276878372768784 0 0.0755500207555003 0.108758821087588 0.131174761311748 0.0190950601909507 0.0801162308011622 0.049813200498132 0.175176421751764 0.0747198007471981
ww 0.0109321058688147 0.139528193325662 0 0.103567318757192 0.112485615650173 0.0745109321058688 0.0313578826237054 0.0532220943613349 0.0457422324510932 0.197640966628308 0.231012658227848
