crop fb gr1 gr2 ma ot po sb sw wb ww
fb 0 0.5 0 0.5 0 0 0 0 0 0
gr1 0 0 1 0 0 0 0 0 0 0
gr2 0 0 0.935349716446125 0.000378071833648393 0.0102079395085067 0 0.0366729678638942 0.0173913043478261 0 0
ma 0 0.8 0 0 0.2 0 0 0 0 0
ot 0 0.571428571428571 0 0.0158730158730161 0.26984126984127 0 0.0952380952380952 0.0317460317460317 0.0158730158730159 0
po 0 0.4 0 0 0 0 0.2 0 0 0.4
sb 0 0.5625 0 0.0104166666666668 0.0572916666666667 0 0.270833333333333 0.09375 0 0.00520833333333333
sw 0 0.527777777777778 0 0 0.0416666666666663 0 0.375 0.0416666666666667 0.0138888888888889 0
wb 0 0.620689655172414 0 0 0.172413793103448 0 0.0689655172413793 0 0.103448275862069 0.0344827586206895
ww 0 0.285714285714286 0 0 0.285714285714286 0 0.142857142857143 0 0.142857142857143 0.142857142857142
