crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.166666666666667 0 0.0151515151515152 0.0346320346320346 0.0627705627705628 0.0346320346320337 0.248917748917749 0.114718614718615 0.0497835497835498 0.272727272727273
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00665314401622719 0 0.267667342799188 0.0257200811359026 0.0181744421906693 0.0969574036511157 0.0323732251521299 0.357241379310345 0.14158215010142 0.0193103448275861 0.0343204868154159
ma 0.00417536534446764 0.331941544885177 0 0.0605427974947808 0.0730688935281837 0.0835073068893528 0.022964509394572 0.229645093945721 0.0918580375782881 0.0167014613778706 0.0855949895615866
or 0.00173988690735102 0.0295780774249672 0 0.00608960417572858 0.00826446280991736 0.0343627664201827 0.0078294910830796 0.180513266637669 0.094388864723793 0.0648107872988256 0.572422792518486
ot 0.00338319088319088 0.211894586894587 0 0.0290242165242165 0.0454059829059829 0.165420227920228 0.032051282051282 0.264245014245014 0.140135327635328 0.0297364672364672 0.0787037037037037
po 0.00161290322580645 0.0736559139784946 0 0.0150537634408602 0.00268817204301075 0.0661290322580645 0.010752688172043 0.376344086021505 0.16989247311828 0.0327956989247312 0.251075268817204
sb 0.00435516842947305 0.223535685716825 0 0.0170651497644654 0.0209759132521554 0.0645275975468847 0.0307528219713801 0.444582703759666 0.115011998933428 0.0398186827837527 0.0393742778419696
sw 0.00567826926352848 0.108909204474476 0 0.0131168019987508 0.0156720231673386 0.0801771620010221 0.0466185906535688 0.389699619555959 0.246834364885583 0.0421895406280166 0.0511044233717563
wb 0.00441726129799524 0.0965001698946644 0 0.00747536527353041 0.359836901121305 0.0615018688413184 0.0302412504247367 0.119266055045872 0.0638803941556235 0.17940876656473 0.0774719673802243
ww 0.00923020121838656 0.0670112608454864 0 0.0132914897544766 0.0646114085287054 0.0749492338932989 0.0651652206018091 0.249584640945173 0.234816318995754 0.0919328041351302 0.12940742108178
