crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0106382978723404 0.104448742746615 0 0.0280464216634429 0.0251450676982592 0.0657640232108317 0.0193423597678917 0.166344294003868 0.0880077369439071 0.0589941972920696 0.433268858800774
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00513418903150526 0 0.532882147024504 0.0238506417736287 0.00891481913652287 0.0725320886814469 0.0200700116686114 0.20630105017503 0.0630571761960327 0.0228238039673278 0.0444340723453909
ma 0.0101781170483461 0.270992366412214 0 0.104325699745547 0.0241730279898219 0.111959287531807 0.0267175572519084 0.231552162849873 0.0725190839694656 0.0114503816793893 0.136132315521628
or 0.000511639805576874 0.0168841135840368 0 0.0097211563059606 0.00946533640317217 0.0220005116398056 0.00895369659759529 0.100025581990279 0.0373497058071118 0.0478383218214379 0.747249936045024
ot 0.00680602819640253 0.231040350024307 0 0.0364608653378707 0.0370685464268352 0.157389402041808 0.0258872143898882 0.231040350024308 0.0884783665532329 0.0476421973748177 0.13818667963053
po 0.0012073649260489 0.0473890733474193 0 0.017506791427709 0.000905523694536452 0.047087232115907 0.00814971325083006 0.281919710232418 0.127376999698159 0.0353154240869303 0.433142167220042
sb 0.00589790522676429 0.218629245474883 0 0.028811605992814 0.0231848688224527 0.0801301606670734 0.0376245678259101 0.371432445257949 0.09816283641787 0.0666395498610264 0.0694868144532574
sw 0.00881570192947439 0.106010201818585 0 0.0202373031714349 0.0205145265025505 0.0867154579729426 0.067420714127301 0.348137059214904 0.174983366600133 0.0808383233532934 0.0863273453093812
wb 0.00463969841960273 0.163694359866609 0 0.0146440481368711 0.316804407713499 0.0669856459330128 0.0269682470639408 0.121792083514572 0.0397274177178483 0.161954472959258 0.0827896186747861
ww 0.0129635449402891 0.0474544311753614 0 0.024198617221873 0.0480043997485858 0.0745600251414205 0.0582181018227532 0.230436832181018 0.106851037083595 0.136313639220616 0.260999371464488
